DFW data by course for Fall 2020 - Spring 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highlighted courses mean enrollment per term >= 20 and DFW rate >= 20% (red) or between 15% and 20% (yellow).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,% of enrolled students who are repeating,,DFW Rate,,,,,,,,,,,,,,,,"DFW equity gap (in percentage points)
compared to Female, Not Pell, White, Non-URM, and Not first generation, respectively.
Positive equity gap means the given group has a higher DFW rate than the comparison group",,,,,,,,,,Each group's percent of total course enrollment,,,,,,,,,,,,,
ALS,World Languages & Literatures,ITAL,ITAL 2A,Intermediate Italian,Lower,4,2,11,6,0.0%,,9.1%,14.3%,0.0%,25.0%,0.0%,,,0.0%,,0.0%,,0.0%,14.3%,0.0%,25.0%,0.0%,-14.3,-25.0,,,0.0,,0.0,,-14.3,25.0,63.6%,36.4%,63.6%,,,27.3%,,9.1%,,54.5%,63.6%,36.4%,36.4%,
ALS,World Languages & Literatures,ITAL,ITAL 2B,Intermediate Italian,Lower,4,2,10,5,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,0.0%,,0.0%,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,,,0.0,,0.0,,0.0,0.0,40.0%,60.0%,70.0%,,,60.0%,,10.0%,,30.0%,30.0%,70.0%,30.0%,
ALS,World Languages & Literatures,ITAL,ITAL 104A,Intro To Ital Cinema I,Upper,3,4,492,123,1.5%,0.9%,4.7%,4.5%,4.9%,5.8%,3.7%,7.1%,2.2%,5.5%,0.0%,0.0%,6.5%,4.5%,4.1%,5.5%,5.9%,4.1%,0.4,-2.1,2.7,-2.3,1.0,-4.5,-4.5,2.0,1.4,1.7,63.0%,37.0%,54.5%,2.8%,18.5%,37.2%,0.2%,0.4%,6.3%,27.2%,59.3%,40.7%,38.2%,
ALS,World Languages & Literatures,ITAL,ITAL 110,Intro Ital Lit I-Dante,Upper,3,1,5,5,20.0%,,0.0%,0.0%,0.0%,0.0%,0.0%,,,0.0%,,,,0.0%,0.0%,0.0%,,0.0%,0.0,0.0,,,0.0,,,,0.0,,60.0%,40.0%,40.0%,,,20.0%,,,,80.0%,80.0%,20.0%,,
ALS,World Languages & Literatures,ITAL,ITAL 111,Intro To Italian Lit II,Upper,3,2,12,6,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,,0.0%,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,83.3%,16.7%,50.0%,,8.3%,41.7%,,8.3%,,41.7%,50.0%,50.0%,16.7%,
ALS,World Languages & Literatures,ITAL,ITAL 130,Italian Civilization,Upper,3,1,15,15,,0.0%,6.7%,8.3%,0.0%,12.5%,0.0%,,0.0%,16.7%,,,,0.0%,0.0%,16.7%,20.0%,0.0%,-8.3,-12.5,,0.0,16.7,,,,16.7,20.0,80.0%,20.0%,46.7%,,13.3%,40.0%,,,,40.0%,60.0%,40.0%,33.3%,
ALS,World Languages & Literatures,ITAL,ITAL 199,Special Problems,Upper,2.7,2,3,2,,,0.0%,0.0%,,0.0%,0.0%,,,0.0%,,,,0.0%,0.0%,0.0%,,0.0%,,0.0,,,0.0,,,,0.0,,100.0%,,33.3%,,,33.3%,,,,66.7%,66.7%,33.3%,,
ALS,World Languages & Literatures,JAPN,JAPN 1A,Elementary Japanese,Lower,5,2,267,134,0.4%,,15.7%,11.8%,17.9%,16.1%,15.5%,21.4%,12.7%,21.7%,,0.0%,12.5%,10.5%,13.3%,20.7%,22.4%,12.8%,6.1,-0.6,10.9,2.2,11.2,,-10.5,2.0,7.4,9.6,41.2%,58.4%,58.1%,5.2%,38.2%,25.8%,,1.5%,12.0%,14.2%,67.4%,32.6%,28.5%,
ALS,World Languages & Literatures,JAPN,JAPN 1B,Elementary Japanese,Lower,5,2,167,84,,1.8%,9.6%,11.8%,7.1%,4.3%,13.4%,9.1%,3.4%,12.1%,,0.0%,11.5%,15.2%,9.2%,10.6%,9.8%,9.8%,-4.6,9.1,-6.1,-11.7,-3.0,,-15.2,-3.6,1.5,0.0,40.7%,58.7%,58.1%,6.6%,34.7%,19.8%,,1.8%,15.6%,19.8%,71.9%,28.1%,24.6%,
ALS,World Languages & Literatures,JAPN,JAPN 2A,Intermediate Japanese,Lower,4,2,53,27,0.0%,,7.5%,0.0%,12.9%,4.5%,9.7%,,11.1%,18.2%,,,0.0%,0.0%,4.8%,18.2%,13.3%,5.3%,12.9,5.1,,11.1,18.2,,,0.0,13.4,8.1,37.7%,58.5%,58.5%,,34.0%,20.8%,,,18.9%,20.8%,79.2%,20.8%,28.3%,
ALS,World Languages & Literatures,JAPN,JAPN 2B,Intermediate Japanese,Lower,4,2,38,19,,0.0%,10.5%,7.7%,13.0%,5.6%,15.0%,,0.0%,33.3%,,,25.0%,0.0%,6.3%,33.3%,10.0%,10.7%,5.4,9.4,,0.0,33.3,,,25.0,27.1,-0.7,34.2%,60.5%,52.6%,,39.5%,15.8%,,,21.1%,15.8%,84.2%,15.8%,26.3%,
ALS,World Languages & Literatures,JAPN,JAPN 110,Intro Japanese Literature,Upper,3,2,27,14,,3.7%,14.8%,18.2%,12.5%,13.3%,16.7%,100.0%,0.0%,14.3%,0.0%,,33.3%,10.0%,11.1%,22.2%,0.0%,25.0%,-5.7,3.3,90.0,-10.0,4.3,-10.0,,23.3,11.1,-25.0,40.7%,59.3%,44.4%,3.7%,14.8%,25.9%,3.7%,,11.1%,37.0%,66.7%,33.3%,37.0%,
ALS,World Languages & Literatures,JAPN,JAPN 116A,Third-Year Japanese 1,Upper,3.4,2,31,16,0.0%,,10.4%,7.9%,11.8%,17.7%,0.0%,,25.0%,0.0%,0.0%,,30.8%,0.0%,13.3%,0.0%,0.0%,15.9%,3.9,-17.7,,25.0,0.0,0.0,,30.8,-13.3,-15.9,38.7%,61.3%,41.9%,,25.8%,19.4%,3.2%,,12.9%,25.8%,77.4%,22.6%,35.5%,
ALS,World Languages & Literatures,JAPN,JAPN 116B,Third-Year Japanese 2,Upper,3.3,2,30,15,,3.3%,12.0%,15.8%,9.7%,15.3%,7.3%,,0.0%,13.0%,0.0%,,33.3%,20.7%,12.2%,11.5%,8.1%,14.3%,-6.1,-7.9,,-20.7,-7.6,-20.7,,12.6,-0.6,-6.2,40.0%,60.0%,40.0%,,20.0%,23.3%,3.3%,,10.0%,30.0%,73.3%,26.7%,36.7%,
ALS,World Languages & Literatures,JAPN,JAPN 120,Japanese Civilization,Upper,3,1,40,40,0.0%,,10.0%,0.0%,16.0%,15.8%,4.8%,0.0%,13.3%,0.0%,,,0.0%,12.5%,12.9%,0.0%,0.0%,12.0%,16.0,-11.0,-12.5,0.8,-12.5,,,-12.5,-12.9,-12.0,32.5%,62.5%,52.5%,2.5%,37.5%,20.0%,,,7.5%,20.0%,77.5%,22.5%,32.5%,
ALS,World Languages & Literatures,JAPN,JAPN 128,Intro to Japn Pop Culture,Upper,3,2,232,116,,0.4%,6.9%,12.1%,2.5%,5.6%,7.7%,0.0%,6.5%,10.6%,,0.0%,7.7%,0.0%,5.9%,8.9%,10.6%,5.0%,-9.7,2.2,0.0,6.5,10.6,,0.0,7.7,3.0,5.6,46.1%,52.6%,61.2%,5.2%,33.2%,28.4%,,0.4%,11.2%,16.4%,65.9%,34.1%,28.4%,
ALS,World Languages & Literatures,JAPN,JAPN 150,"Adv Japn Grammar,Convers",Upper,3,2,25,13,0.0%,,8.0%,7.7%,8.3%,16.7%,0.0%,,33.3%,0.0%,0.0%,,0.0%,0.0%,11.1%,0.0%,0.0%,13.3%,0.6,-16.7,,33.3,0.0,0.0,,0.0,-11.1,-13.3,52.0%,48.0%,52.0%,,24.0%,24.0%,4.0%,,12.0%,20.0%,72.0%,28.0%,36.0%,
ALS,World Languages & Literatures,JAPN,JAPN 199,Special Problems,Upper,2.3,2,3,2,,,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,,,,,0.0%,0.0%,,0.0%,0.0%,0.0,0.0,,0.0,,,,,,0.0,33.3%,66.7%,66.7%,,33.3%,,,,,33.3%,100.0%,,66.7%,
ALS,World Languages & Literatures,KORN,KORN 1A,Elementary Korean 1A,Lower,5,2,69,35,0.0%,,2.9%,1.9%,6.3%,0.0%,4.8%,33.3%,2.9%,0.0%,,,0.0%,0.0%,1.9%,5.9%,0.0%,5.4%,4.4,4.8,33.3,2.9,0.0,,,0.0,4.0,-5.4,76.8%,23.2%,60.9%,4.3%,49.3%,20.3%,,,11.6%,8.7%,75.4%,24.6%,40.6%,
ALS,World Languages & Literatures,KORN,KORN 1B,Elementary Korean 1B,Lower,5,2,51,26,,2.0%,3.9%,5.0%,0.0%,5.9%,2.9%,0.0%,4.5%,0.0%,,,12.5%,0.0%,5.9%,0.0%,4.5%,3.7%,-5.0,-2.9,0.0,4.5,0.0,,,12.5,-5.9,0.8,78.4%,21.6%,66.7%,3.9%,43.1%,29.4%,,,15.7%,3.9%,66.7%,33.3%,43.1%,
ALS,World Languages & Literatures,KORN,KORN 2A,Intermediate Korean 2A,Lower,4,1,13,13,0.0%,,7.7%,11.1%,0.0%,16.7%,0.0%,,0.0%,14.3%,,,,0.0%,0.0%,14.3%,0.0%,9.1%,-11.1,-16.7,,0.0,14.3,,,,14.3,-9.1,69.2%,30.8%,53.8%,,23.1%,53.8%,,,,15.4%,46.2%,53.8%,15.4%,
ALS,World Languages & Literatures,KORN,KORN 2B,Intermediate Korean 2B,Lower,4,1,5,5,,0.0%,0.0%,0.0%,,0.0%,0.0%,,0.0%,0.0%,,,,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0,,0.0,0.0,,,,0.0,0.0,100.0%,,40.0%,,20.0%,60.0%,,,,20.0%,40.0%,60.0%,20.0%,
ALS,World Languages & Literatures,PUNJ,PUNJ 1A,Elementary Punjabi,Lower,4,2,59,30,0.0%,,10.2%,12.5%,7.4%,15.0%,7.7%,0.0%,8.9%,0.0%,,,0.0%,0.0%,11.1%,0.0%,3.8%,12.5%,-5.1,-7.3,0.0,8.9,0.0,,,0.0,-11.1,-8.7,54.2%,45.8%,66.1%,1.7%,76.3%,6.8%,,,6.8%,1.7%,91.5%,8.5%,44.1%,
ALS,World Languages & Literatures,PUNJ,PUNJ 1B,Elementary Punjabi,Lower,4,2,58,29,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,0.0%,,0.0%,0.0%,0.0%,0.0%,0.0,0.0,,,,,,,0.0,0.0,34.5%,65.5%,58.6%,1.7%,79.3%,5.2%,,,3.4%,,93.1%,6.9%,50.0%,
ALS,World Languages & Literatures,SPAN,SPAN 1A,Elementary Spanish,Lower,4,4,508,127,1.2%,0.5%,7.3%,6.3%,8.5%,8.0%,6.7%,10.3%,3.3%,7.2%,,0.0%,7.5%,8.4%,6.8%,7.9%,6.5%,7.3%,2.2,-1.3,2.0,-5.1,-1.2,,-8.4,-0.9,1.1,-0.9,53.5%,46.5%,53.1%,11.4%,12.0%,30.1%,,0.6%,7.9%,32.9%,57.9%,42.1%,24.4%,
ALS,World Languages & Literatures,SPAN,SPAN 1B,Elementary Spanish,Lower,4,4,569,142,0.9%,2.0%,6.9%,6.6%,7.1%,4.8%,8.5%,17.2%,4.9%,7.2%,0.0%,0.0%,7.1%,3.8%,4.8%,9.3%,9.0%,6.0%,0.5,3.7,13.5,1.1,3.4,-3.8,-3.8,3.4,4.5,3.1,55.7%,44.3%,55.9%,10.2%,10.7%,34.1%,0.4%,0.5%,7.4%,32.5%,54.8%,45.2%,29.2%,
ALS,World Languages & Literatures,SPAN,SPAN 2A,Intermediate Spanish,Lower,4,2,29,15,,3.4%,6.9%,6.3%,7.7%,0.0%,9.1%,0.0%,0.0%,5.0%,100.0%,,0.0%,0.0%,0.0%,9.1%,7.7%,6.7%,1.4,9.1,0.0,0.0,5.0,100.0,,0.0,9.1,1.0,55.2%,44.8%,75.9%,3.4%,3.4%,69.0%,3.4%,,3.4%,13.8%,24.1%,75.9%,44.8%,
ALS,World Languages & Literatures,SPAN,SPAN 2B,Intermediate Spanish,Lower,4,2,34,17,0.0%,,8.8%,6.5%,33.3%,16.7%,4.5%,33.3%,0.0%,11.8%,,,0.0%,0.0%,0.0%,15.0%,12.5%,5.9%,26.9,-12.1,33.3,0.0,11.8,,,0.0,15.0,6.6,91.2%,8.8%,64.7%,8.8%,11.8%,50.0%,,,2.9%,17.6%,41.2%,58.8%,47.1%,
ALS,World Languages & Literatures,SPAN,SPAN 6A,Interm Span Professionals I,Lower,4,2,32,16,0.0%,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,,,0.0%,,0.0%,0.0%,0.0%,0.0%,0.0,0.0,,,,,,,0.0,0.0,96.9%,3.1%,65.6%,3.1%,,78.1%,,,3.1%,,18.8%,81.3%,65.6%,
ALS,World Languages & Literatures,SPAN,SPAN 6B,Interm Span Professionals II,Lower,4,2,31,16,,0.0%,0.0%,0.0%,,0.0%,0.0%,,,0.0%,,,0.0%,,0.0%,0.0%,0.0%,0.0%,,0.0,,,,,,,0.0,0.0,100.0%,,58.1%,,,80.6%,,,3.2%,,19.4%,80.6%,64.5%,
ALS,World Languages & Literatures,SPAN,SPAN 7,Spanish Read Proficiency,Lower,3,4,870,218,2.9%,3.1%,5.4%,5.3%,5.6%,5.3%,5.5%,11.2%,6.1%,6.6%,0.0%,0.0%,5.0%,1.3%,3.0%,7.5%,6.9%,4.5%,0.3,0.1,9.9,4.7,5.3,-1.3,-1.3,3.7,4.5,2.3,56.9%,43.1%,52.5%,12.3%,7.6%,39.8%,0.6%,1.3%,6.9%,25.7%,46.1%,53.9%,31.8%,
ALS,World Languages & Literatures,SPAN,SPAN 8A,Interm Span CRJ I,Lower,4,1,8,8,0.0%,,0.0%,0.0%,0.0%,0.0%,0.0%,,,0.0%,,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,,,0.0,,,,0.0,0.0,75.0%,25.0%,12.5%,,,75.0%,,,,25.0%,25.0%,75.0%,62.5%,
ALS,World Languages & Literatures,SPAN,SPAN 8B,Interm Span CRJ II,Lower,4,1,6,6,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,0.0%,,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,,,0.0,,,,0.0,0.0,66.7%,33.3%,16.7%,,,66.7%,,,,33.3%,33.3%,66.7%,50.0%,
ALS,World Languages & Literatures,SPAN,SPAN 42,Conversation In Spanish,Lower,3,2,34,17,,0.0%,2.9%,4.5%,0.0%,0.0%,5.6%,,0.0%,4.3%,,,,0.0%,0.0%,4.3%,0.0%,6.7%,-4.5,5.6,,0.0,4.3,,,,4.3,-6.7,64.7%,35.3%,52.9%,,2.9%,67.6%,,,,8.8%,32.4%,67.6%,52.9%,
ALS,World Languages & Literatures,SPAN,SPAN 47,Intro Comp+Grammar Review,Lower,3,4,131,33,2.2%,2.6%,9.2%,6.3%,16.7%,5.6%,11.7%,100.0%,50.0%,7.8%,,,0.0%,0.0%,10.7%,8.7%,11.1%,7.3%,10.4,6.1,100.0,50.0,7.8,,,0.0,-2.0,3.8,72.5%,27.5%,58.8%,0.8%,1.5%,77.9%,,,3.1%,7.6%,21.4%,78.6%,55.0%,
ALS,World Languages & Literatures,SPAN,SPAN 100,Intro Study Hispanic Lit,Upper,3,4,138,35,0.0%,2.7%,2.2%,1.9%,3.3%,3.1%,1.4%,,0.0%,0.9%,,,0.0%,0.0%,6.7%,0.9%,2.4%,2.1%,1.5,-1.7,,0.0,0.9,,,0.0,-5.7,0.3,78.3%,21.7%,52.9%,,0.7%,78.3%,,,1.4%,8.0%,21.7%,78.3%,61.6%,
ALS,World Languages & Literatures,SPAN,SPAN 102,Spanish Phonetics,Upper,3,4,93,23,9.8%,15.6%,15.1%,15.7%,13.0%,11.8%,16.9%,0.0%,0.0%,13.5%,,,0.0%,28.6%,23.5%,13.2%,14.5%,13.8%,-2.7,5.2,-28.6,-28.6,-15.1,,,-28.6,-10.4,0.7,75.3%,24.7%,63.4%,2.2%,1.1%,79.6%,,,1.1%,7.5%,18.3%,81.7%,66.7%,
ALS,World Languages & Literatures,SPAN,SPAN 103,Advanced Spanish Grammar,Upper,3,4,144,36,6.5%,9.8%,8.3%,9.5%,3.6%,4.8%,11.0%,50.0%,0.0%,7.1%,,,0.0%,9.1%,10.3%,7.8%,8.4%,8.9%,-5.9,6.1,40.9,-9.1,-2.0,,,-9.1,-2.5,-0.5,80.6%,19.4%,56.9%,1.4%,0.7%,78.5%,,,2.8%,7.6%,20.1%,79.9%,57.6%,
ALS,World Languages & Literatures,SPAN,SPAN 106,Adv Spanish Composition,Upper,3,4,96,24,6.0%,0.0%,4.2%,5.6%,0.0%,5.1%,3.5%,50.0%,0.0%,2.7%,,,0.0%,12.5%,4.8%,4.0%,4.6%,3.6%,-5.6,-1.6,37.5,-12.5,-9.8,,,-12.5,-0.8,1.0,75.0%,25.0%,59.4%,2.1%,1.0%,76.0%,,,2.1%,8.3%,21.9%,78.1%,67.7%,
ALS,World Languages & Literatures,SPAN,SPAN 110,Survey Span Lit To 1800,Upper,3,2,69,35,4.3%,,14.5%,15.7%,11.1%,13.0%,15.2%,50.0%,,15.4%,,,0.0%,14.3%,6.7%,16.7%,16.7%,5.3%,-4.6,2.2,35.7,,1.1,,,-14.3,10.0,11.4,73.9%,26.1%,66.7%,2.9%,,75.4%,,,1.4%,10.1%,21.7%,78.3%,69.6%,
ALS,World Languages & Literatures,SPAN,SPAN 111,Survey Span Lit 1800-Pres,Upper,3,2,68,34,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,0.0%,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,,,0.0,,,0.0,0.0,0.0,69.1%,30.9%,70.6%,,,79.4%,,,1.5%,8.8%,20.6%,79.4%,69.1%,
ALS,World Languages & Literatures,SPAN,SPAN 113,Latin Amer Lit Beg To Mod,Upper,3,2,67,34,1.5%,,3.0%,4.2%,0.0%,0.0%,4.4%,0.0%,,3.9%,,,0.0%,0.0%,0.0%,3.8%,4.2%,0.0%,-4.2,4.4,0.0,,3.9,,,0.0,3.8,4.2,71.6%,28.4%,67.2%,1.5%,,76.1%,,,1.5%,11.9%,22.4%,77.6%,71.6%,
ALS,World Languages & Literatures,SPAN,SPAN 114,Latin American Literature,Upper,3,2,65,33,,0.0%,1.5%,2.0%,0.0%,4.5%,0.0%,,,1.9%,,,0.0%,0.0%,0.0%,1.9%,0.0%,5.0%,-2.0,-4.5,,,1.9,,,0.0,1.9,-5.0,75.4%,24.6%,66.2%,,,80.0%,,,1.5%,7.7%,20.0%,80.0%,66.2%,
ALS,World Languages & Literatures,SPAN,SPAN 121,Spanish For Professionals,Upper,3,3,86,29,0.0%,0.0%,3.5%,1.5%,10.5%,2.9%,3.8%,,,1.4%,,,0.0%,16.7%,13.3%,1.4%,5.3%,0.0%,9.0,0.9,,,-15.3,,,-16.7,-11.9,5.3,77.9%,22.1%,60.5%,,,82.6%,,,1.2%,7.0%,17.4%,82.6%,66.3%,
ALS,World Languages & Literatures,SPAN,SPAN 123,Topics in Spanish Literature,Upper,3,2,23,12,,,0.0%,0.0%,0.0%,0.0%,0.0%,,,0.0%,,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,,,0.0,,,,0.0,0.0,73.9%,26.1%,52.2%,,,91.3%,,,,4.3%,8.7%,91.3%,69.6%,
ALS,World Languages & Literatures,SPAN,SPAN 125,Spanish-English Translation,Upper,3,1,6,6,0.0%,,0.0%,0.0%,0.0%,0.0%,0.0%,,,0.0%,,,0.0%,,0.0%,0.0%,0.0%,0.0%,0.0,0.0,,,,,,,0.0,0.0,83.3%,16.7%,66.7%,,,83.3%,,,16.7%,,16.7%,83.3%,83.3%,
ALS,World Languages & Literatures,SPAN,SPAN 130,Contemporary Mexican Lit,Upper,3,1,28,28,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,0.0%,,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,,,0.0,,,,0.0,0.0,60.7%,39.3%,50.0%,,,85.7%,,,,7.1%,14.3%,85.7%,57.1%,
ALS,World Languages & Literatures,SPAN,SPAN 142,Adv Spanish Conversation,Upper,3,4,107,27,0.0%,2.1%,0.9%,0.0%,4.3%,2.2%,0.0%,,0.0%,0.0%,,,0.0%,0.0%,4.3%,0.0%,1.7%,0.0%,4.3,-2.2,,0.0,0.0,,,0.0,-4.3,1.7,78.5%,21.5%,57.9%,,0.9%,78.5%,,,1.9%,11.2%,21.5%,78.5%,55.1%,
ALS,World Languages & Literatures,SPAN,SPAN 151,Civ & Culture Hispanic America,Upper,3,2,59,30,1.7%,,5.1%,4.9%,5.6%,5.3%,5.0%,0.0%,,4.3%,,,,12.5%,9.1%,4.2%,2.5%,10.5%,0.7,-0.3,-12.5,,-8.2,,,,-4.9,-8.0,69.5%,30.5%,67.8%,1.7%,,79.7%,,,,13.6%,18.6%,81.4%,67.8%,
ALS,World Languages & Literatures,SPAN,SPAN 152,Civltn+Cult Modern Spain,Upper,3,4,98,25,0.0%,0.0%,4.1%,3.0%,6.3%,4.5%,3.7%,,0.0%,2.6%,,,0.0%,11.1%,9.5%,2.6%,4.8%,3.1%,3.2,-0.8,,-11.1,-8.5,,,-11.1,-6.9,1.6,67.3%,32.7%,55.1%,,1.0%,78.6%,,,3.1%,9.2%,21.4%,78.6%,64.3%,
ALS,World Languages & Literatures,SPAN,SPAN 153,Civilization+Cult Mexico,Upper,3,2,64,32,0.0%,,6.3%,6.1%,6.7%,3.4%,8.6%,,,6.1%,,,0.0%,16.7%,6.7%,6.1%,2.3%,10.0%,0.5,5.1,,,-10.5,,,-16.7,-0.5,-7.7,76.6%,23.4%,54.7%,,,76.6%,,,1.6%,9.4%,23.4%,76.6%,67.2%,
ALS,World Languages & Literatures,SPAN,SPAN 159,Cult Lat Am for Professionals,Upper,3,2,52,26,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,78.8%,21.2%,63.5%,,1.9%,84.6%,,,1.9%,3.8%,15.4%,84.6%,63.5%,
ALS,World Languages & Literatures,SPAN,SPAN 194,Field Exper/Internship,Upper,3,4,12,3,,,0.0%,0.0%,,0.0%,0.0%,,,0.0%,,,,,0.0%,0.0%,0.0%,0.0%,,0.0,,,,,,,0.0,0.0,100.0%,,50.0%,,,91.7%,,,,,8.3%,91.7%,75.0%,
ALS,World Languages & Literatures,SPAN,SPAN 199,Special Problems,Upper,3,1,1,1,,,0.0%,0.0%,,,0.0%,,,,,,,0.0%,0.0%,,,0.0%,,,,,,,,,,,100.0%,,100.0%,,,,,,,100.0%,100.0%,,,
ALS,World Languages & Literatures,WLL,WLL 15,World Literatures in Film,Lower,3,4,496,124,1.2%,0.8%,11.3%,10.5%,12.8%,10.3%,12.2%,14.0%,10.7%,13.0%,,0.0%,10.8%,5.4%,9.4%,12.8%,12.9%,10.0%,2.3,1.9,8.6,5.3,7.6,,-5.4,5.5,3.4,2.9,65.3%,34.7%,51.2%,10.1%,20.8%,43.5%,,1.4%,7.5%,11.3%,45.0%,55.0%,40.7%,
ALS,World Languages & Literatures,WLL,WLL 21,First Year Seminar,Lower,3,2,51,26,2.0%,,23.5%,24.1%,22.7%,28.0%,19.2%,20.0%,50.0%,23.3%,,,25.0%,0.0%,25.0%,22.9%,28.6%,18.2%,-1.4,-8.8,20.0,50.0,23.3,,,25.0,-2.1,10.4,56.9%,43.1%,51.0%,9.8%,11.8%,58.8%,,,7.8%,7.8%,31.4%,68.6%,54.9%,
COB,Accounting,ACCY,ACCY 1,Accounting Fundamentals,Lower,3,4,"1,605",401,6.9%,8.9%,22.3%,21.4%,23.1%,18.4%,26.2%,38.8%,13.8%,28.3%,,31.6%,21.0%,15.7%,15.8%,30.1%,28.6%,19.1%,1.7,7.8,23.1,-1.9,12.6,,15.9,5.3,14.2,9.5,45.4%,54.6%,49.7%,7.2%,24.9%,36.9%,,1.2%,5.0%,17.4%,54.6%,45.4%,38.1%,
COB,Accounting,ACCY,ACCY 2,Managerial Accounting,Lower,3,4,990,248,4.8%,5.1%,12.7%,13.2%,12.4%,12.0%,13.6%,10.9%,9.9%,18.2%,,7.7%,11.1%,9.6%,9.8%,16.9%,13.4%,12.8%,-0.8,1.6,1.3,0.3,8.6,,-1.9,1.5,7.1,0.6,41.3%,58.6%,47.7%,5.6%,25.5%,34.4%,,1.3%,5.5%,18.9%,58.7%,41.3%,35.5%,
COB,Accounting,ACCY,ACCY 111,Intermediate Acctg I,Upper,3,4,684,171,5.3%,9.2%,16.4%,18.3%,13.8%,14.4%,17.8%,16.7%,15.0%,26.8%,0.0%,0.0%,17.8%,12.3%,13.6%,24.3%,17.9%,15.2%,-4.5,3.4,4.3,2.7,14.5,-12.3,-12.3,5.4,10.7,2.7,56.6%,43.4%,58.3%,1.8%,35.1%,22.4%,0.3%,1.5%,6.6%,23.7%,74.1%,25.9%,44.9%,
COB,Accounting,ACCY,ACCY 112,Intermediate Acctg II,Upper,3,4,506,127,8.6%,9.6%,12.6%,13.3%,12.0%,10.9%,14.0%,0.0%,7.9%,16.0%,100.0%,0.0%,23.3%,15.6%,11.6%,16.0%,11.1%,14.6%,-1.3,3.2,-15.6,-7.7,0.5,84.4,-15.6,7.8,4.3,-3.5,52.2%,47.8%,56.3%,1.6%,35.2%,20.9%,0.4%,0.6%,5.9%,24.1%,76.5%,23.5%,42.9%,
COB,Accounting,ACCY,ACCY 113,Intermediate Acctg III,Upper,3,4,322,81,4.9%,9.5%,16.1%,13.8%,19.1%,19.2%,14.2%,20.0%,11.9%,20.0%,,25.0%,16.7%,11.8%,15.1%,20.3%,12.3%,17.2%,5.3,-5.0,8.2,0.1,8.2,,13.2,4.9,5.2,-4.9,56.2%,43.8%,61.2%,1.6%,39.1%,17.1%,,1.2%,3.7%,26.4%,80.1%,19.9%,42.9%,
COB,Accounting,ACCY,ACCY 117,Advanced Accounting,Upper,3,4,161,40,1.2%,1.3%,4.3%,3.8%,5.4%,9.7%,1.0%,50.0%,2.3%,6.3%,,0.0%,0.0%,3.0%,2.9%,14.3%,1.4%,8.1%,1.5,-8.7,47.0,-0.7,3.2,,-3.0,-3.0,11.4,-6.8,65.2%,34.8%,61.5%,2.5%,54.0%,9.9%,,0.6%,5.0%,20.5%,87.0%,13.0%,46.0%,
COB,Accounting,ACCY,ACCY 121,Cost Accounting,Upper,3,4,596,149,4.0%,6.1%,10.4%,10.7%,10.1%,11.1%,9.9%,25.0%,5.0%,12.5%,0.0%,0.0%,21.6%,13.6%,9.8%,12.3%,8.9%,12.4%,-0.6,-1.3,11.4,-8.6,-1.1,-13.6,-13.6,8.0,2.5,-3.5,53.5%,46.5%,56.2%,1.3%,36.7%,20.1%,0.3%,1.3%,6.2%,24.7%,76.8%,23.2%,43.5%,
COB,Accounting,ACCY,ACCY 122,Advanced Management Acctg,Upper,3,2,67,34,0.0%,,1.5%,0.0%,3.6%,0.0%,2.9%,,0.0%,0.0%,,,,0.0%,1.8%,0.0%,0.0%,0.0%,3.6,2.9,,0.0,0.0,,,,-1.8,0.0,58.2%,41.8%,50.7%,,40.3%,16.4%,,,,31.3%,83.6%,16.4%,38.8%,
